tool,sample,signature,browserExposure,localExposure,absoluteDifference
deconstructsigs,SP50518,SBS40,0.294586757939492,0.294586757939492,0
deconstructsigs,SP50518,SBS41,0,0,0
deconstructsigs,SP50518,SBS42,0.0201990592575018,0.0201990592575018,0
deconstructsigs,SP50518,SBS43,0,0,0
deconstructsigs,SP50518,SBS44,0.020841761655924,0.020841761655924,0
deconstructsigs,SP50518,SBS45,0,0,0
deconstructsigs,SP50518,SBS46,0,0,0
deconstructsigs,SP50518,SBS47,0.00430873284507661,0.00430873284507661,0
deconstructsigs,SP50518,SBS48,0,0,0
deconstructsigs,SP50518,SBS49,0,0,0
deconstructsigs,SP50518,SBS5,0.154045055962134,0.154045055962134,0
deconstructsigs,SP50518,SBS50,0.0335489128696344,0.0335489128696344,0
deconstructsigs,SP50518,SBS51,0,0,0
deconstructsigs,SP50518,SBS52,0,0,0
deconstructsigs,SP50518,SBS53,0,0,0
deconstructsigs,SP50518,SBS54,0,0,0
deconstructsigs,SP50518,SBS55,0,0,0
deconstructsigs,SP50518,SBS56,0,0,0
deconstructsigs,SP50518,SBS57,0,0,0
deconstructsigs,SP50518,SBS58,0.00835717038168197,0.00835717038168197,0
deconstructsigs,SP50518,SBS59,0,0,0
deconstructsigs,SP50518,SBS6,0,0,0
deconstructsigs,SP50518,SBS60,0,0,0
deconstructsigs,SP50518,SBS7a,0.0232132208134959,0.0232132208134959,0
deconstructsigs,SP50518,SBS7b,0.0031780183151280694,0.0031780183151280694,0
deconstructsigs,SP50518,SBS7c,0,0,0
deconstructsigs,SP50518,SBS7d,0.0201550889458514,0.0201550889458514,0
deconstructsigs,SP50518,SBS8,0.032202015549218,0.032202015549218,0
deconstructsigs,SP50518,SBS84,0,0,0
deconstructsigs,SP50518,SBS85,0.014654687044639398,0.014654687044639398,0
deconstructsigs,SP50518,SBS9,0,0,0
deconstructsigs,SP50592,SBS1,0.13717979044193818,0.13717979044193818,0
deconstructsigs,SP50592,SBS10a,0.014284523808755417,0.014284523808755417,0
deconstructsigs,SP50592,SBS10b,0.011276111611956614,0.011276111611956614,0
deconstructsigs,SP50592,SBS11,0,0,0
